iteration,proposed,added,skipped,metrics_delta,added_cols
1,3,3,0,"RMSE:-2.0871, MAE:-1.3242, MAPE:-0.8578, R2:+0.0808, best_iteration:-1.0000, n_train:-12.0000, n_val:-12.0000","LOAD_lag_12, LOAD_rolling_12_mean, temp_multiply_LOAD"
2,3,3,0,"RMSE:-2.5865, MAE:-2.3835, MAPE:-1.7904, R2:+0.0858, best_iteration:+17.0000, n_train:-35.0000, n_val:-35.0000","temp_lag_6, LOAD_rolling_48_mean, temp_div_LOAD"
